ID;S_NAME;ICD10;SORT
10000001;"""Бычий зуб""";K00.2;1
10000002;"""Замерзшее плечо""";M75.0;2
10000003;"""Заячья губа""";Q36.9;3
10000004;"""Заячья губа"" неполная";Q36.9;4
10000005;"""Заячья губа"" полная";Q36.9;5
10000006;"""Зеленая"" болезнь";D50.8;6
10000007;"""Легкость головы""";R42;7
10000008;"""Серый"" синдром";P93;8
10000009;"""Серый"" синдром новорожденного";P93;9
10000010;"""Хозяин против трансплантата"" болезнь";T86.0;10
10000011;"""Хозяин против трансплантата"" болезнь костного мозга";T86.0;11
10000012;"""Хозяин против трансплантата"" болезнь, ХПТ";T86.0;12
10000013;"""Шерстяные"" волосы";Q84.1;13
10000014;"""Шерстяные"" волосы врожденные";Q84.1;14
10000017;AB0 Гемолитическая болезнь;P55.1;15
10000018;AB0 Гемолитическая болезнь новорожденного;P55.1;16
10000019;AB0 Гемолитическая болезнь плода;P55.1;17
10000020;Accretio cordis;I31.0;18
10000021;Angina decubitus;I20.0;19
10000022;Angina pectoris;I20.9;20
10000023;Angina pectoris грудная;I20.9;21
10000024;Angina pectoris кардиальная;I20.9;22
10000025;Angina pectoris сердечная;I20.9;23
10000026;Angina pectoris синдром;I20.9;24
10000027;Angina нестабильная;I20.0;25
10000028;Angina спазматическая;I20.0;26
10000029;Angina стабильная;I20.8;27
10000030;Angina уточненная;I20.8;28
10000031;Anisakis larvae заражение;B81.0;29
10000032;Ascaris;B77.9;30
10000033;Ascaris lumbricoides;B77.9;31
10000034;Ascaris заражение;B77.9;32
10000035;Ascaris инфекция;B77.9;33
10000036;Aspergillus;B44.9;34
10000037;Aspergillus flavus;B44.9;35
10000038;Aspergillus fumigant;B44.9;36
10000039;Aspergillus terreus;B44.9;37
10000040;Aspergillus диссеминированный с пневмонией;B44.7;38
10000041;Aspergillus инвазивный легочный с пневмонией;B44.0;39
10000042;Aspergillus инфекция;B44.9;40
10000043;Aspergillus легочный с пневмонией;B44.1;41
10000044;Aspergillus с пневмонией;B44.9;42
10000045;Aspergillus тонзиллярный с пневмонией;B44.2;43
10000046;BALT-лимфома;C88.4;44
10000047;Bruce septicemia;A23.0;45
10000048;Chondrogenesis imperfecta;Q77.4;46
10000049;Commotio cerebri;S06.0;47
10000050;Concretio cordis;I31.1;48
10081527;COVID-19;U07.1;49
10081530;COVID-19, вероятный;U07.2;50
10081532;COVID-19, вирус идентифицирован;U07.1;51
10081533;COVID-19, вирус не идентифицирован;U07.2;52
10081598;COVID-19, осложнивший беременность;O98.5;53
10081529;COVID-19, подтвержденный;U07.1;54
10081528;COVID-19, подтвержденный лабораторным тестированием;U07.1;55
10081583;COVID-19, положительный результат теста на вирус;U07.1;56
10000051;CR(E)ST синдром;M34.1;57
