�;M86.8;9825
10009819;Броди болезнь;M86.8;9826
10009820;Бродяжничество;Z59.0;9827
10009821;Брока синдром;J98.1;9828
10009822;Бромгидроз;L75.0;9829
10009823;Бромидрозифобия;F40.2;9830
10009824;Бромизм острый при неправильном назначении лекарственного средства;T42.6;9831
10009825;Бромизм острый при передозировке лекарственного средства;T42.6;9832
10009826;Бромизм острый при правильном введении соответствующего назначению лекарственного средства;G92;9833
10009827;Бромизм острый при приеме лекарственного средства по ошибке;T42.6;9834
10009828;Бромизм хроническая зависимость;F13.2;9835
10009829;Бромизм хронический;F13.2;9836
10009830;Бронхиолит;J21.9;9837
10009831;Бронхиолит гриппозный;J11.1;9838
10009832;Бронхиолит инфекционный;J21.9;9839
10009833;Бронхиолит облитерирующий;J44.8;9840
10009834;Бронхиолит облитерирующий подострый;J44.8;9841
10009835;Бронхиолит облитерирующий хронический;J44.8;9842
10009836;Бронхиолит облитерирующий, вызванный вдыханием газов;J68.4;9843
10009837;Бронхиолит облитерирующий, вызванный вдыханием дыма;J68.4;9844
10009838;Бронхиолит облитерирующий, вызванный вдыханием испарений;J68.4;9845
10009839;Бронхиолит облитерирующий, вызванный вдыханием химических веществ;J68.4;9846
10009840;Бронхиолит острый;J21.9;9847
10009841;Бронхиолит подострый;J21.9;9848
10009842;Бронхиолит с бронхоспазмом;J21.9;9849
10009843;Бронхиолит с гриппом;J11.1;9850
10009844;Бронхиолит с закупоркой дыхательных путей;J21.9;9851
10009845;Бронхиолит фиброзный облитерирующий;J44.8;9852
10009846;Бронхиолит химический;J68.4;9853
10009847;Бронхиолит химический хронический;J68.4;9854
10009848;Бронхиолит хронический;J44.8;9855
10009849;Бронхиолит хронический облитерирующий;J44.8;9856
10009850;Бронхиолит хронический фиброзный;J44.8;9857
10009851;Бронхиолит, вызванный респираторным синтициальным вирусом;J21.0;9858
10009852;Бронхиолит, вызванный уточненным возбудителем;J21.8;9859
10009853;Бронхиолит, вызванный человеческим метапневмовирусом;J21.1;9860
10009854;Бронхит;J40;9861
10009855;Бронхит арахидический;T17.5;9862
10009856;Бронхит в возрасте старше 15 лет;J40;9863
10009857;Бронхит вирусный острый;J20.8;9864
10009858;Бронхит вирусный подострый;J20.8;9865
10009859;Бронхит воспалительный;J40;9866
10009860;Бронхит гнойный;J41.1;9867
10009861;Бронхит гнойный острый;J20.9;9868
10009862;Бронхит гнойный подострый;J20.9;9869
10009863;Бронхит гнойный рецидивирующий;J41.1;9870
10009864;Бронхит гнойный с гриппом;J11.1;9871
10009865;Бронхит гнойный с закупоркой;J44.8;9872
10009866;Бронхит гнойный с закупоркой дыхательных путей;J44.8;9873
10009867;Бронхит гнойный с закупоркой легкого;J44.8;9874
10009868;Бронхит гнойный хронический;J41.1;9875
10009869;Бронхит гриппозный;J11.1;9876
10009870;Бронхит диффузный;J40;9877
10009871;Бронхит застойный;J40;9878
10009872;Бронхит зловонный;J41.1;9879
10009873;Бронхит инфекционный;J40;9880
10009874;Бронхит казеозный;A16.4;9881
10009875;Бронхит казеозный туберкулезный;A16.4;9882
10009876;Бронхит капиллярный;J18.0;9883
10009877;Бронхит катаральный;J40;9884
10009878;Бронхит катаральный в возрасте 15 лет и старше;J40;9885
10009879;Бронхит катаральный в возрасте до 15 лет;J20.9;9886
10009880;Бронхит катаральный хронический;J41.0;9887
10009881;Бронхит крупозный;J20.9;9888
10009882;Бронхит курильщиков;J41.0;9889
10009883;Бронхит литейщиков;J62.8;9890
10009884;Бронхит мембранозный;J40;9891
10009885;Бронхит нагноительный;J41.1;9892
10009886;Бронхит нагноительный острый;J20.9;9893
10009887;Бронхит нагноительный подострый;J20.9;9894
10009888;Бронхит нагноительный хронический;J41.1;9895
10009889;Бронхит облитерирующий;J44.8;9896
10009890;Бронхит облитерирующий хронический;J44.8;9897
