 хромосом амниотической жидкости;R89.8;20571
10020559;Другие отклонения от нормы, выявленные при исследованиях хромосом бронхиальных смывов;R84.8;20572
10020560;Другие отклонения от нормы, выявленные при исследованиях хромосом выделений из сосков;R89.8;20573
10020561;Другие отклонения от нормы, выявленные при исследованиях хромосом жидкости влагалищных выделений;R87.8;20574
10020562;Другие отклонения от нормы, выявленные при исследованиях хромосом жидкости из органов дыхания;R84.8;20575
10020563;Другие отклонения от нормы, выявленные при исследованиях хромосом мазков из влагалища;R87.8;20576
10020564;Другие отклонения от нормы, выявленные при исследованиях хромосом мазков из горла;R84.8;20577
10020565;Другие отклонения от нормы, выявленные при исследованиях хромосом мокроты;R84.8;20578
10020566;Другие отклонения от нормы, выявленные при исследованиях хромосом носовых выделений;R84.8;20579
10020567;Другие отклонения от нормы, выявленные при исследованиях хромосом перитонеальной жидкости;R85.8;20580
10020568;Другие отклонения от нормы, выявленные при исследованиях хромосом плевральной жидкости;R84.8;20581
10020569;Другие отклонения от нормы, выявленные при исследованиях хромосом препаратов из влагалища;R87.8;20582
10020570;Другие отклонения от нормы, выявленные при исследованиях хромосом препаратов из вульвы;R87.8;20583
10020571;Другие отклонения от нормы, выявленные при исследованиях хромосом препаратов из женских половых органов;R87.8;20584
10020572;Другие отклонения от нормы, выявленные при исследованиях хромосом препаратов из мужских половых органов;R86.8;20585
10020573;Другие отклонения от нормы, выявленные при исследованиях хромосом препаратов из органа грудной клетки;R84.8;20586
10020574;Другие отклонения от нормы, выявленные при исследованиях хромосом препаратов из органов дыхания;R84.8;20587
10020575;Другие отклонения от нормы, выявленные при исследованиях хромосом препаратов из органов пищеварения;R85.8;20588
10020576;Другие отклонения от нормы, выявленные при исследованиях хромосом препаратов из системы органа;R89.8;20589
10020577;Другие отклонения от нормы, выявленные при исследованиях хромосом препаратов из ткани;R89.8;20590
10020578;Другие отклонения от нормы, выявленные при исследованиях хромосом препаратов из уточненного органа;R89.8;20591
10020579;Другие отклонения от нормы, выявленные при исследованиях хромосом препаратов из шейки матки;R87.8;20592
10020580;Другие отклонения от нормы, выявленные при исследованиях хромосом раневого отделяемого;R89.8;20593
10020581;Другие отклонения от нормы, выявленные при исследованиях хромосом секрета предстательной железы;R86.8;20594
10020582;Другие отклонения от нормы, выявленные при исследованиях хромосом секреторных выделений из влагалища;R87.8;20595
10020583;Другие отклонения от нормы, выявленные при исследованиях хромосом секреторных выделений из женских половых органов;R87.8;20596
10020584;Другие отклонения от нормы, выявленные при исследованиях хромосом семенной жидкости;R86.8;20597
10020585;Другие отклонения от нормы, выявленные при исследованиях хромосом синовиальной жидкости;R89.8;20598
10020586;Другие отклонения от нормы, выявленные при исследованиях хромосом слюны;R85.8;20599
10020587;Друза диска зрительного нерва;H47.3;20600
10020588;Друза макулы;H35.3;20601
10020589;Друза макулы дегенеративная;H35.3;20602
10020590;Друза макулы сетчатки;H35.3;20603
10020591;Дряблая кожа;L98.7;20604
10020592;Дряблая кожа после потери массы тела;L98.7;20605
10020593;Дубина-Джонсона болезнь;E80.6;20606
10020594;Дубина-Джонсона синдром;E80.6;20607
10020595;Дубовица синдром;Q87.1;20608
10020596;Дугообразная матка;Q51.8;20609
10020597;Дум-дум лихорадка;B55.0;20610
10020598;Дуоденит;K29.8;20611
10020599;Дуоденит неспецифический;K29.8;20612
10020600;Дуоденит пептический;K29.8;20613
10020601;Дуоденохолангит;K83.0;20614
10020602;Душевнобольной;F29;20615
10020603;Дуэйна синдром;H50.8;20616
10020604;Дыхание недостаточное;R06.8;20617
10020605;Дыхание недостаточное новорожденного;P28.5;20618
10020606;Дыхание ослабленное;T79.4;20619
10020607;Дыхание ослабленное, вследствие травмы;T79.4;20620
10020608;Дыхание ослабленное, вызванное шоком;T79.4;20621
10020609;Дыхание с задержкой у ребенка;R06.8;20622
10020610;Дыхание с неприятным запахом изо рта;R19.6;20623
10020611;Дыхание с судорожным вздохом психогенное;F45.3;20624
10020612;Дыхание тяжелое;R06.8;20625
10020613;Дыхание тяжелое новорожденного;P28.5;20626
10020614;Дыхание Чейна-Стокса;R06.3;20627
10020615;Дыхание через рот;R06.5;20628
10020616;Дыхание через рот несифилитическое;R06.5;20629
10020617;Дыхание через рот новорожденных;P28.8;20630
10020618;Дыхание через рот сифилитическое;A50.0;20631
10020619;Дыхание через рот сифилитическое младенеца;A50.0;20632
10020620;Дыхания приступ задержки;R06.8;20633
10020621;Дыхания расстройство психогенное;F45.3;20634
10020622;Дыхательные упражнения;Z50.1;20635
10020623;Дьелафуа болезнь;K25.0;20636
10020624;Дьелафуа язва;K25.0;20637
10020625;Дюбуа болезнь;A50.5;20638
10020626;Дюбуа болезнь вилочковой железы;A50.5;20639
10020627;Дюкрея шанкр;A57;20640
10020628;Дюплея бурсит;M75.0;20641
10020629;Дюплея периартрит;M75.0;20642
10020630;Дюпюитрена болезнь;M72.0;20643
10020631;Дюпюитрена контрактура;M72.0;20644
10020632;Дюрана-Никола-Фавра болезнь;A55;20645
10020633;Дюринга болезнь;L13.0;20646
10020634;Дюрозье болезнь;Q23.2;20647
10020635;Дюшенна болезнь двигательного нейрона;G12.2;20648
10020636;Дюшенна болезнь мышечной дистрофии;G71.0;20649
10020637;Дюшенна двигательная атаксия;A52.1;20650
10020638;Дюшенна двигательная атаксия сифилитическая;A52.1;20651
10020639;Дюшенна паралич;G71.0;20652
10020640;Дюшенна паралич вследствие мышечной дистрофии;G71.0;20653
10020641;Дюшенна паралич вследствие родовой травмы;P14.0;20654
10020642;Дюшенна синдром двигательного нейрона;G12.2;20655
10020643;Дюшенна синдром мышечной дистрофии;G71.0;20656
10020644;Дюшенна-Арана мышечная атрофия;G12.2;20657
10020645;Дюшенна-Гризингера болезнь;G71.0;20658
10020646;Евнухоидизм;E29.1;20659
10020647;Евнухоидизм гипогонадотропный;E23.0;20660
10020648;Европейский бластомикоз;B45.9;20661
10020649;Единственная пупочная артерия;Q27.0;20662
10020650;Единственный атриовентрикулярный канал;Q21.2;20663
10020651;Единственный атриовентрикулярный канал общий;Q21.2;20664
10020652;Единственный желудочек;Q20.4;20665
10020653;Еюнит;A09.9;20666
10020654;Еюнит инфекционный;A09.0;20667
10020655;Еюнит неинфекционный;K52.9;20668
10020656;Жаберная киста;Q18.2;20669
10020657;Жаберная щель;Q18.0;20670
10020658;Жаберный рудимент;Q18.0;20671
10020659;Жаберный рудимент на шее;Q18.0;20672
10020660;Жажда чрезмерная;R63.1;20673
10020661;Жажда чрезмерная, вызванная лишением воды;T73.1;20674
10020662;Жаке дерматит;L22;20675
10020663;Жакку синдром;M12.0;20676
10020664;Жане болезнь;F48.8;20677
10020665;Желатинозный экссудат передней камеры глаза;H20.0;20678
10020666;Железнодорожника позвоночный столб;F48.8;20679
10020667;Железной дороги невроз;F48.8;20680
10020668;Желино синдром;G47.4;20681
10020669;Желтая атрофия;K72.9;20682
10020670;Желтая атрофия печени;K72.9;20683
10020671;Желтого ногтя синдром;L60.5;20684
10020672;Желточный проток сохранившийся;Q43.0;20685
10020673;Желтуха;R17.0;20686
10020674;Желтуха ахолурическая;D58.0;20687
10020675;Желтуха ахолурическая приобретенная;P59.8;20688
10020676;Желтуха ахолурическая семейная;D58.0;20689
10020677;Желтуха ахолурическая спленомегалическая;D58.0;20690
10020678;Желтуха вследствие преждевременного родоразрешения;P59.0;20691
10020679;Желтуха вследствие родов при замедленной конъюгации билирубина;P59.0;20692
10020680;Желтуха гематогенная;D59.9;20693
10020681;Желтуха гематогенная приобретенная;D59.9;20694
10020682;Желтуха гемолитическая;D59.9;20695
10020683;Желтуха гемолитическая врожденная;D58.0;20696
10020684;Желтуха гемолитическая приобретенная;D59.9;20697
10020685;Желтуха геморрагическая;A27.0;20698
10020686;Желтуха геморрагическая лептоспирозная;A27.0;20699
10020687;Желтуха геморрагическая острая;A27.0;20700
10020688;Желтуха геморрагическая спирохетозная;A27.0;20701
10020689;Желтуха геморрагическая, вызванная спирохетами;A27.0;20702
10020690;Желтуха лептоспирозная;A27.0;20703
10020691;Желтуха лептоспирозная геморрагическая;A27.0;20704
10020692;Желтуха новорожденного;P59.9;20705
10020693;Желтуха новорожденного инфекционная;P58.2;20706
10020694;Желтуха новорожденного физиологическая;P59.9;20707
10020695;Желтуха новорожденного, вызванная ABO антителами;P55.1;20708
10020696;Желтуха новорожденного, вызванная ABO изоиммунизацией;P55.1;20709
10020697;Желтуха новорожденного, вызванная Rh-антителами;P55.0;20710
10020698;Желтуха новорожденного, вызванная Rh-изоиммунизацией;P55.0;20711
10020699;Желтуха новорожденного, вызванная Rh-несовместимостью крови матери и плода;P55.0;20712
10020700;Желтуха новорожденного, вызванная врожденной недостаточностью ферментных систем для конъюгации билирубина;P59.8;20713
10020701;Желтуха новорожденного, вызванная врожденным отсутствием ферментных систем для конъюгации билирубина;P59.8;20714
10020702;Желтуха новорожденного, вызванная галактоземией;E74.2;20715
10020703;Желтуха новорожденного, вызванная гепатоцеллюлярным нарушением;P59.2;20716
10020704;Желтуха новорожденного, вызванная гипотиреозом врожденным;E03.1;20717
10020705;Желтуха новорожденного, вызванная заглатыванием материнской крови;P58.5;20718
10020706;Желтуха новорожденного, вызванная замедленной конъюгацией;P59.8;20719
10020707;Желтуха новорожденного, вызванная замедленной конъюгацией, связанной с преждевременным родоразрешением;P59.0;20720
10020708;Желтуха новорожденного, вызванная изоиммунизацией;P55.9;20721
10020709;Желтуха новорожденного, вызванная ингибиторами лактации, замедляющими конъюгацию билирубина;P59.3;20722
10020710;Желтуха новорожденного, вызванная кровоподтеками;P58.0;20723
10020711;Желтуха новорожденного, вызванная кровотечением;P58.1;20724
10020712;Желтуха новорожденного, вызванная лекарственными средствами, перешедшими из организма матери;P58.4;20725
