
10031555;Метастазы кожи ягодичной области;C79.2;31606
10031556;Метастазы козелка;C79.2;31607
10031557;Метастазы колена;C79.8;31608
10031558;Метастазы комиссуры гортани;C78.3;31609
10031559;Метастазы конечности;C79.8;31610
10031560;Метастазы конского хвоста;C79.4;31611
10031561;Метастазы конуса спинного мозга;C79.4;31612
10031562;Метастазы концевой нити спинного мозга;C79.4;31613
10031563;Метастазы кончика языка;C79.8;31614
10031564;Метастазы конъюнктивы;C79.4;31615
10031565;Метастазы копчика;C79.5;31616
10031566;Метастазы копчикового гломуса;C79.8;31617
10031567;Метастазы копчикового отдела позвоночника;C79.5;31618
10031568;Метастазы копчикового позвонка;C79.5;31619
10031569;Метастазы копчиковой области позвоночного столба;C79.5;31620
10031570;Метастазы корневого лимфатического узла;C77.1;31621
10031571;Метастазы корня языка;C79.8;31622
10031572;Метастазы коротких костей верхней конечности;C79.5;31623
10031573;Метастазы коротких костей нижней конечности;C79.5;31624
10031574;Метастазы короткой кости;C79.5;31625
10031575;Метастазы короткой кости верхних конечностей◊;C79.5;31626
10031576;Метастазы короткой кости нижних конечностей◊;C79.5;31627
10031577;Метастазы коры большого мозга;C79.3;31628
10031578;Метастазы коры головного мозга;C79.3;31629
10031579;Метастазы коры надпочечника;C79.7;31630
10031580;Метастазы коры церебральной;C79.3;31631
10031581;Метастазы кости;C79.5;31632
10031582;Метастазы кости акромиального отростка;C79.5;31633
10031583;Метастазы кости большого пальца руки;C79.5;31634
10031584;Метастазы кости верхней конечности;C79.5;31635
10031585;Метастазы кости верхней челюсти;C79.5;31636
10031586;Метастазы кости глазницы;C79.5;31637
10031587;Метастазы кости запястья;C79.5;31638
10031588;Метастазы кости кисти;C79.5;31639
10031589;Метастазы кости коленного сустава;C79.5;31640
10031590;Метастазы кости конечности;C79.5;31641
10031591;Метастазы кости копчика;C79.5;31642
10031592;Метастазы кости крестца;C79.5;31643
10031593;Метастазы кости лица;C79.5;31644
10031594;Метастазы кости лодыжки;C79.5;31645
10031595;Метастазы кости лопатки;C79.5;31646
