�ния в крови меди;R79.0;47831
10047771;Отклонение от нормы уровня содержания в крови минеральных веществ;R79.0;47832
10047772;Отклонение от нормы уровня содержания в крови триацилглицероллипазы;R74.8;47833
10047773;Отклонение от нормы уровня содержания в крови ферментов;R74.9;47834
10047774;Отклонение от нормы уровня содержания в крови ферментов уточненных;R74.8;47835
10047775;Отклонение от нормы уровня содержания в крови цинка;R79.0;47836
10047776;Отклонение от нормы уровня содержания в крови щелочной фосфатазы;R74.8;47837
10047777;Отклонение от нормы фонокардиограммы;R94.3;47838
10047778;Отклонение от нормы химического состава крови;R79.9;47839
10047779;Отклонение от нормы химического состава крови уточненное;R79.8;47840
10047780;Отклонение от нормы цвета стула;R19.5;47841
10047781;Отклонение от нормы ЭКГ;R94.3;47842
10047782;Отклонение от нормы электрокардиограммы;R94.3;47843
10047783;Отклонение от нормы электромиограммы;R94.1;47844
10047784;Отклонение от нормы электроокулограммы;R94.1;47845
10047785;Отклонение от нормы электроретинограммы;R94.1;47846
10047786;Отклонение от нормы электроэнцефалограммы;R94.0;47847
10047787;Отклонение от нормы ЭМГ;R94.1;47848
10047788;Отклонение от нормы ЭОГ;R94.1;47849
10047789;Отклонение от нормы ЭРГ;R94.1;47850
10047790;Отклонение от нормы эхокардиограммы;R93.1;47851
10047791;Отклонение от нормы эхоэнцефалограммы;R90.8;47852
10047792;Отклонение от нормы ЭЭГ;R94.0;47853
10047793;Отклонение от нормы, выявленное у плода кислотно-щелочного равновесия, осложняющее родоразрешение;O68.3;47854
10047794;Отклонение от нормы, выявленное у плода кислотно-щелочного равновесия, осложняющее роды;O68.3;47855
10047795;Отклонение от нормы, выявленное у плода, влияющее на ведение беременности;O35.9;47856
10047796;Отклонение от нормы, выявленное у плода, вызывающее диспропорцию у матери;O33.7;47857
10047797;Отклонение от нормы, выявленное у плода, вызывающее диспропорцию у матери с затрудненными родами;O66.3;47858
10047798;Отклонение от нормы, выявленное у плода, вызывающее диспропорцию у матери, влияние на новорожденного;P03.1;47859
10047799;Отклонение от нормы, выявленное у плода, вызывающее диспропорцию у матери, влияние на плод;P03.1;47860
10047800;Отклонения от нормы биохимические, выявленные при антенатальном исследовании матери;O28.1;47861
10047801;Отклонения от нормы газового равновесия в крови;R79.8;47862
10047802;Отклонения от нормы гематологические, в результате болезни, вызванной ВИЧ;B23.2;47863
10047803;Отклонения от нормы гематологические, выявленные при антенатальном исследовании матери;O28.0;47864
10047804;Отклонения от нормы генетические, выявленные при антенатальном исследовании матери;O28.5;47865
10047805;Отклонения от нормы легочных функциональных тестов;R94.2;47866
10047806;Отклонения от нормы неуточненные, выявленное при исследовании носовых выделений;R84.9;47867
10047807;Отклонения от нормы неуточненные, выявленные при исследовании амниотической жидкости;R89.9;47868
10047808;Отклонения от нормы неуточненные, выявленные при исследовании бронхиальных смывов;R84.9;47869
10047809;Отклонения от нормы неуточненные, выявленные при исследовании выделений из сосков;R89.9;47870
10047810;Отклонения от нормы неуточненные, выявленные при исследовании жидкости влагалищных выделений;R87.9;47871
10047811;Отклонения от нормы неуточненные, выявленные при исследовании жидкости из органов дыхания;R84.9;47872
10047812;Отклонения от нормы неуточненные, выявленные при исследовании мазков из влагалища;R87.9;47873
10047813;Отклонения от нормы неуточненные, выявленные при исследовании мазков из горла;R84.9;47874
10047814;Отклонения от нормы неуточненные, выявленные при исследовании мокроты;R84.9;47875
10047815;Отклонения от нормы неуточненные, выявленные при исследовании перитонеальной жидкости;R85.9;47876
10047816;Отклонения от нормы неуточненные, выявленные при исследовании плевральной жидкости;R84.9;47877
10047817;Отклонения от нормы неуточненные, выявленные при исследовании препаратов из влагалища;R87.9;47878
10047818;Отклонения от нормы неуточненные, выявленные при исследовании препаратов из вульвы;R87.9;47879
10047819;Отклонения от нормы неуточненные, выявленные при исследовании препаратов из женских половых органов;R87.9;47880
10047820;Отклонения от нормы неуточненные, выявленные при исследовании препаратов из мужских половых органов;R86.9;47881
10047821;Отклонения от нормы неуточненные, выявленные при исследовании препаратов из органа грудной клетки;R84.9;47882
10047822;Отклонения от нормы неуточненные, выявленные при исследовании препаратов из органов дыхания;R84.9;47883
10047823;Отклонения от нормы неуточненные, выявленные при исследовании препаратов из органов пищеварения;R85.9;47884
10047824;Отклонения от нормы неуточненные, выявленные при исследовании препаратов из системы органа;R89.9;47885
10047825;Отклонения от нормы неуточненные, выявленные при исследовании препаратов из ткани;R89.9;47886
10047826;Отклонения от нормы неуточненные, выявленные при исследовании препаратов из уточненного органа;R89.9;47887
10047827;Отклонения от нормы неуточненные, выявленные при исследовании препаратов из шейки матки;R87.9;47888
10047828;Отклонения от нормы неуточненные, выявленные при исследовании раневого отделяемого;R89.9;47889
10047829;Отклонения от нормы неуточненные, выявленные при исследовании секрета предстательной железы;R86.9;47890
10047830;Отклонения от нормы неуточненные, выявленные при исследовании секреторных выделений из влагалища;R87.9;47891
10047831;Отклонения от нормы неуточненные, выявленные при исследовании секреторных выделений из женских половых органов;R87.9;47892
10047832;Отклонения от нормы неуточненные, выявленные при исследовании семенной жидкости;R86.9;47893
10047833;Отклонения от нормы неуточненные, выявленные при исследовании синовиальной жидкости;R89.9;47894
10047834;Отклонения от нормы неуточненные, выявленные при исследовании слюны;R85.9;47895
10047835;Отклонения от нормы неуточненные, выявленные при исследовании спинномозговой жидкости;R83.9;47896
10047836;Отклонения от нормы уточненные, выявленные при антенатальном исследовании матери;O28.8;47897
10047837;Отклонения от нормы уточненные, выявленные при иммунологическом исследовании сыворотки;R76.8;47898
10047838;Отклонения от нормы хромосомные, выявленные при антенатальном исследовании матери;O28.5;47899
10047839;Отклонения от нормы цитологические, выявленные при антенатальном исследовании матери;O28.2;47900
10047840;Отклонения от нормы электролитов;E87.8;47901
10047841;Отклонения от нормы, выявленные при антенатальном исследовании матери;O28.9;47902
10047842;Отклонения от нормы, выявленные при антенатальном обследовании матери;O28.9;47903
10047843;Отклонения от нормы, выявленные при антенатальном радиологическом исследовании матери;O28.4;47904
10047844;Отклонения от нормы, выявленные при антенатальном ультразвуковом исследовании матери;O28.3;47905
10047845;Отклонения от нормы, выявленные при гистологических исследованиях амниотической жидкости;R89.7;47906
10047846;Отклонения от нормы, выявленные при гистологических исследованиях бронхиальных смывов;R84.7;47907
10047847;Отклонения от нормы, выявленные при гистологических исследованиях выделений из сосков;R89.7;47908
10047848;Отклонения от нормы, выявленные при гистологических исследованиях жидкости влагалищных выделений;R87.7;47909
10047849;Отклонения от нормы, выявленные при гистологических исследованиях жидкости из органов дыхания;R84.7;47910
10047850;Отклонения от нормы, выявленные при гистологических исследованиях мазков из влагалища;R87.7;47911
