зяином квартиры;Z59.2;59528
10059461;Проблема конфликта с членами семьи;Z63.8;59529
10059462;Проблема конфликта с членами семьи уточненная;Z63.9;59530
10059463;Проблема кормления;R63.3;59531
10059464;Проблема кормления новорожденного;P92.9;59532
10059465;Проблема кормления новорожденного грудью;P92.5;59533
10059466;Проблема кормления новорожденного уточненная;P92.8;59534
10059467;Проблема кормления новорожденного, вялое сосание;P92.2;59535
10059468;Проблема кормления новорожденного, медленное сосание;P92.2;59536
10059469;Проблема кормления новорожденного, недокармливание;P92.3;59537
10059470;Проблема кормления новорожденного, перекармливание;P92.4;59538
10059471;Проблема курения табака;Z72.0;59539
10059472;Проблема медицинских учреждений;Z75.9;59540
10059473;Проблема медицинских учреждений уточненная;Z75.8;59541
10059474;Проблема медицинской помощи в семье;Z63.6;59542
10059475;Проблема медицинской помощи уточненная;Z75.8;59543
10059476;Проблема многодетности;Z64.1;59544
10059477;Проблема мочевая;N39.9;59545
10059478;Проблема нарушенной способности к передвижению вследствие длительного пребывания в постели;R26.3;59546
10059479;Проблема нарушенной способности передвигаться;Z74.0;59547
10059480;Проблема нарушенной способности передвигаться, требующая оказания помощи;Z74.0;59548
10059481;Проблема насилия по отношению к ребенку;Z61.6;59549
10059482;Проблема неадекватного обучения;Z55.8;59550
10059483;Проблема неблагоприятных жизненных событий в детстве;Z61.9;59551
10059484;Проблема неблагоприятных жизненных событий в детстве, уточненное событие;Z61.8;59552
10059485;Проблема неврологическая;R29.8;59553
10059486;Проблема неграмотности;Z55.0;59554
10059487;Проблема нежелательной беременности;Z64.0;59555
10059488;Проблема неприемлемого давления со стороны родителей;Z62.6;59556
10059489;Проблема несоблюдения личной гигиены;Z91.2;59557
10059490;Проблема неспособности к обучению;F81.9;59558
10059491;Проблема неспособности к обучению вследствие нарушения процесса развития;F81.9;59559
10059492;Проблема нетипичных ситуаций между родителями и детьми;Z60.1;59560
10059493;Проблема неудобного графика работы;Z56.3;59561
10059494;Проблема неудовлетворенности работой;Z56.7;59562
10059495;Проблема неудовлетворенности школьной обстановкой;Z55.4;59563
10059496;Проблема неудовлетворительных жилищных условий;Z59.9;59564
10059497;Проблема неудовлетворительных жилищных условий другая уточненная;Z59.8;59565
10059498;Проблема неуспеваемости в школе;Z55.3;59566
10059499;Проблема низкого уровня грамотности;Z55.0;59567
10059500;Проблема образа жизни;Z72.9;59568
10059501;Проблема ограниченности жилой площади;Z59.1;59569
10059502;Проблема одиночества;Z60.2;59570
10059503;Проблема освобождения из тюрьмы;Z65.2;59571
10059504;Проблема отклонения в состоянии плода, требующего предоставления медицинской помощи матери;O36.9;59572
10059505;Проблема отлучения от дома в детстве;Z61.1;59573
10059506;Проблема отлучения от дома, влияние на ребенка;Z61.1;59574
10059507;Проблема отсутствия жилища;Z59.0;59575
10059508;Проблема отсутствия работы;Z56.0;59576
10059509;Проблема пережитого испуга в детстве;Z61.7;59577
10059510;Проблема пищеварения;K92.9;59578
10059511;Проблема плохого лечения;Z91.8;59579
10059512;Проблема плохого преподавания;Z55.8;59580
10059513;Проблема поведения, сопряженного с самоповреждением;Z72.8;59581
10059514;Проблема поиска и принятия известных вредных и опасных алиментарных вмешательств;Z64.2;59582
10059515;Проблема поиска и принятия известных вредных и опасных поведенческих воздействий;Z64.3;59583
10059516;Проблема поиска и принятия известных вредных и опасных психологических воздействий;Z64.3;59584
10059517;Проблема поиска и принятия известных вредных и опасных физических вмешательств;Z64.2;59585
10059518;Проблема поиска и принятия известных вредных и опасных химических вмешательств;Z64.2;59586
10059519;Проблема политической дискриминации;Z60.5;59587
10059520;Проблема половой дискриминации;Z60.5;59588
10059521;Проблема половой функции;F52.9;59589
10059522;Проблема половой функции неорганическая;F52.9;59590
10059523;Проблема помещения ребенка в закрытое учреждение, влияющее на ребенка;Z62.2;59591
10059524;Проблема потери аппетита;F50.8;59592
10059525;Проблема потери любимого родственника в детстве;Z61.0;59593
10059526;Проблема потери права выкупа заложенного имущества;Z59.8;59594
10059527;Проблема потери самоуважения в детстве;Z61.3;59595
10059528;Проблема появления в семье мачехи влияющее на ребенка;Z61.2;59596
10059529;Проблема появления в семье отчима влиющее на ребенка;Z61.2;59597
10059530;Проблема правовая;Z65.3;59598
10059531;Проблема признания виновности судом;Z65.0;59599
10059532;Проблема признания виновности судом и тюремного заключения;Z65.1;59600
10059533;Проблема принятия другой культуры;Z60.3;59601
10059534;Проблема присутствия в доме больного;Z63.7;59602
10059535;Проблема присутствия в доме больного, нуждающегося в уходе;Z63.6;59603
10059536;Проблема присутствия в доме инвалида;Z63.7;59604
10059537;Проблема присутствия в доме инвалида, нуждающегося в уходе;Z63.6;59605
10059538;Проблема присутствия в семье больного;Z63.7;59606
10059539;Проблема присутствия в семье больного, нуждающегося в уходе;Z63.6;59607
10059540;Проблема присутствия в семье инвалида;Z63.7;59608
10059541;Проблема присутствия в семье инвалида, нуждающегося в уходе;Z63.6;59609
10059542;Проблема психиатрическая;F99;59610
10059543;Проблема психосексуального развития;F66.9;59611
10059544;Проблема психосоциальная;Z65.9;59612
10059545;Проблема психосоциальная уточненная;Z65.8;59613
10059546;Проблема развода, приведшего к распаду семьи;Z63.5;59614
10059547;Проблема разногласий в семье;Z63.8;59615
10059548;Проблема разногласий между супругами;Z63.0;59616
10059549;Проблема разногласий между супругами с разводом;Z63.5;59617
10059550;Проблема разногласий с должностным лицом, надзирающим за испытуемым;Z64.4;59618
10059551;Проблема разногласий с начальником;Z56.4;59619
10059552;Проблема разногласий с партнером;Z63.0;59620
10059553;Проблема разногласий с попечителем;Z64.4;59621
10059554;Проблема разногласий с поручителем;Z64.4;59622
10059555;Проблема разногласий с поручителем официальным;Z64.4;59623
10059556;Проблема разногласий с постояльцами;Z59.2;59624
10059557;Проблема разногласий с работодателем;Z56.4;59625
10059558;Проблема разногласий с родителями жены;Z63.1;59626
