�ледствие рахита;E64.3;70100
10070030;Соха valga приобретенная;M21.0;70101
10070031;Соха vara;M21.1;70102
10070032;Соха vara врожденная;Q65.8;70103
10070033;Соха vara как отдаленное последствие рахита;E64.3;70104
10070034;Соха vara приобретенная;M21.1;70105
10070035;Сохранение анальной мембраны;Q42.3;70106
10070036;Сохранение анальной мембраны со свищом;Q42.2;70107
10070037;Сохранение аномального ногтя;Q84.6;70108
10070038;Сохранение аномальных ногтей;Q84.6;70109
10070039;Сохранение артериального боталлова протока;Q25.0;70110
10070040;Сохранение артериального ствола;Q20.0;70111
10070041;Сохранение артерии стремечка;Q16.3;70112
10070042;Сохранение атриовентрикулярного канала;Q21.2;70113
10070043;Сохранение вилочковой железы;E32.0;70114
10070044;Сохранение вилочковой железы с гиперплазией;E32.0;70115
10070045;Сохранение вторичного отверстия;Q21.1;70116
10070046;Сохранение гиалоидной артерии;Q14.8;70117
10070047;Сохранение гиалоидной артерии обычно неполное;Q14.8;70118
10070048;Сохранение гиалоидной системы;Q14.8;70119
10070049;Сохранение двойной аортальной дуги;Q25.4;70120
10070050;Сохранение девственной плевы при беременности;O34.7;70121
10070051;Сохранение девственной плевы при родах;O34.7;70122
10070052;Сохранение дивертикула Меккеля;Q43.0;70123
10070053;Сохранение жаберной щели;Q18.0;70124
10070054;Сохранение желточного протока;Q43.0;70125
10070055;Сохранение зрачковой мембраны;Q13.8;70126
10070056;Сохранение изгибов аортальной дуги;Q25.4;70127
10070057;Сохранение изгибов маточной трубы;Q50.6;70128
10070058;Сохранение изгибов фаллопиевой трубы;Q50.6;70129
10070059;Сохранение изгибов яйцевода;Q50.6;70130
10070060;Сохранение канала Клоке;Q14.0;70131
10070061;Сохранение капсулы радужки;Q12.8;70132
10070062;Сохранение клоаки;Q43.7;70133
10070063;Сохранение левого корня аорты с правой дугой аорты;Q25.4;70134
10070064;Сохранение левой верхней полой вены;Q26.1;70135
10070065;Сохранение левой задней кардинальной вены;Q26.8;70136
10070066;Сохранение молочных зубов;K00.6;70137
10070067;Сохранение мочеполового синуса у женщин;Q52.8;70138
10070068;Сохранение мочеполового синуса у мужчин;Q55.8;70139
10070069;Сохранение непрозрачной капсулы радужки;Q12.8;70140
10070070;Сохранение общего атриовентрикулярного отверстия;Q21.2;70141
10070071;Сохранение общего ствола;Q20.0;70142
10070072;Сохранение овального отверстия;Q21.1;70143
10070073;Сохранение остатков яичника в маточной трубе;Q50.6;70144
10070074;Сохранение отверстия боталлова протока;Q21.1;70145
10070075;Сохранение панкреатической ткани в кишечном тракте;Q43.8;70146
10070076;Сохранение первичного отверстия;Q21.2;70147
10070077;Сохранение первичной гиперплазии стекловидного тела;Q14.0;70148
10070078;Сохранение первичных зубов;K00.6;70149
10070079;Сохранение плодного гемоглобина;D56.4;70150
10070080;Сохранение плодного гемоглобина наследственное;D56.4;70151
10070081;Сохранение плодного кровообращения;P29.3;70152
10070082;Сохранение плодной формы шейки матки;Q51.8;70153
10070083;Сохранение правой дуги аорты;Q25.4;70154
10070084;Сохранение протока Гартнера;Q50.6;70155
10070085;Сохранение пупочно-брыжеечного протока;Q43.0;70156
10070086;Сохранение пушковых волос;Q84.2;70157
10070087;Сохранение реснично-ретинальной артерии;Q14.8;70158
10070088;Сохранение реснично-ретинальной вены;Q14.8;70159
10070089;Сохранение сердечной луковицы в левом желудочке;Q21.8;70160
10070090;Сохранение синуса венозного с неполным соединением в правом предсердии;Q26.8;70161
10070091;Сохранение сосудистой оболочки хрусталика;Q12.2;70162
10070092;Сохранение стекловидного канала Клоке;Q14.0;70163
10070093;Сохранение урахуса;Q64.4;70164
10070094;Сохранение устойчивого задне-затылочного положения плода как причина осложнения родов;O64.0;70165
10070095;Сохранение устойчивого задне-затылочного положения плода ко времени родов;O32.8;70166
10070096;Сохранение устойчивого задне-затылочного положения плода ко времени родов, влияние на новорожденного;P03.1;70167
10070097;Сохранение устойчивого задне-затылочного положения плода ко времени родов, влияние на плод;P03.1;70168
10070098;Сохранение устойчивого поперечного положения плода ко времени родов;O64.0;70169
10070099;Сохранение устойчивого поперечного положения плода ко времени родов, влияние на новорожденного;P03.1;70170
10070100;Сохранение устойчивого поперечного положения плода ко времени родов, влияние на плод;P03.1;70171
10070101;Сохранение щитовидно-язычного протока;Q89.2;70172
10070102;Социальная изоляция;Z60.4;70173
10070103;Социальная изоляция из-за дискриминации;Z60.5;70174
10070104;Социальная изоляция из-за преследования;Z60.5;70175
10070105;Социальная изоляция из-за чувства преследования;Z60.5;70176
10070106;Социальное изменение статуса;Z60.3;70177
10070107;Социальные навыки неадекватные;Z73.4;70178
10070108;Социальный конфликт, связанный с социальной ролью;Z73.5;70179
10070109;Социальный мигрант;Z59.0;70180
10070110;Спазм аккомодации;H52.5;70181
10070111;Спазм анального сфинктера;K59.4;70182
10070112;Спазм ануса;K59.4;70183
10070113;Спазм ануса психогенный;F45.3;70184
10070114;Спазм ануса рефлекторный;K59.4;70185
10070115;Спазм артерии;I73.9;70186
10070116;Спазм артерии сетчатки;H34.2;70187
10070117;Спазм болезненный;R25.2;70188
10070118;Спазм болезненный абдоминальный;R10.4;70189
10070119;Спазм болезненный верхней конечности;R25.2;70190
10070120;Спазм болезненный кишечный;R10.4;70191
10070121;Спазм болезненный кишечный психогенный;F45.3;70192
10070122;Спазм болезненный конечности;R25.2;70193
10070123;Спазм болезненный кочегаров;T67.2;70194
10070124;Спазм болезненный матки;N94.8;70195
10070125;Спазм болезненный машинистки;F48.8;70196
10070126;Спазм болезненный машинистки органический;G25.8;70197
10070127;Спазм болезненный менструальный матки;N94.6;70198
10070128;Спазм болезненный наборщика;F48.8;70199
10070129;Спазм болезненный наборщика органический;G25.8;70200
10070130;Спазм болезненный нижней конечности;R25.2;70201
10070131;Спазм болезненный органический;G25.8;70202
10070132;Спазм болезненный писчий;F48.8;70203
10070133;Спазм болезненный писчий органический;G25.8;70204
10070134;Спазм болезненный при солевом истощении;E87.1;70205
10070135;Спазм болезненный профессиональный;F48.8;70206
10070136;Спазм болезненный профессиональный органический;G25.8;70207
10070137;Спазм болезненный руки профессиональный;F48.8;70208
10070138;Спазм болезненный телеграфиста;F48.8;70209
10070139;Спазм болезненный телеграфиста органический;G25.8;70210
10070140;Спазм болезненный тепловой;T67.2;70211
10070141;Спазм бронха;J98.0;70212
10070142;Спазм бронхиолы;J98.0;70213
10070143;Спазм Бэлла;G51.3;70214
10070144;Спазм вазомоторный;I73.9;70215
10070145;Спазм вены;I87.8;70216
10070146;Спазм влагалища;N94.2;70217
10070147;Спазм влагалища психогенный;F52.5;70218
10070148;Спазм внешнего сфинктера мочевого пузыря;N32.8;70219
10070149;Спазм внешнего сфинктера мочевого пузыря психогенный;F45.3;70220
10070150;Спазм внутреннего сфинктера мочевого пузыря;N32.8;70221
10070151;Спазм внутреннего сфинктера мочевого пузыря психогенный;F45.3;70222
10070152;Спазм внутренних органов;R10.4;70223
10070153;Спазм гемифациальный;G51.3;70224
10070154;Спазм гемифациальный клонический;G51.3;70225
10070155;Спазм глазной артерии;H34.2;70226
10070156;Спазм глазодвигательный;H51.8;70227
10070157;Спазм глазодвигательный психогенный;F45.8;70228
10070158;Спазм глотки;J39.2;70229
10070159;Спазм глотки истерический;F45.3;70230
10070160;Спазм глотки психогенный;F45.3;70231
10070161;Спазм глотки рефлекторный;J39.2;70232
10070162;Спазм голосовой щели;J38.5;70233
10070163;Спазм голосовой щели истерический;F44.4;70234
10070164;Спазм голосовой щели психогенный;F45.3;70235
10070165;Спазм голосовой щели психогенный, как реакция конверсии;F44.4;70236
10070166;Спазм горла;J39.2;70237
10070167;Спазм горла истерический;F45.3;70238
10070168;Спазм горла психогенный;F45.3;70239
10070169;Спазм гортани;J38.5;70240
10070170;Спазм гортани истерический;F44.4;70241
10070171;Спазм гортани психогенный;F45.3;70242
10070172;Спазм гортани психогенный, как реакция конверсии;F44.4;70243
10070173;Спазм двенадцатиперстной кишки;K59.8;70244
10070174;Спазм детский;G40.4;70245
10070175;Спазм детский врожденный;G40.4;70246
10070176;Спазм детский паралитический;G40.4;70247
10070177;Спазм детский церебральный;G40.4;70248
10070178;Спазм диафрагмы;R06.6;70249
10070179;Спазм диафрагмы психогенный;F45.3;70250
10070180;Спазм диафрагмы рефлекторный;R06.6;70251
10070181;Спазм диафрагмы эпидемический;B33.0;70252
10070182;Спазм желудка;K31.8;70253
10070183;Спазм желудка невротический;F45.3;70254
10070184;Спазм желудочно-кишечного тракта психогенный;F45.3;70255
10070185;Спазм заднего прохода;K59.4;70256
10070186;Спазм заднего прохода психогенный;F45.3;70257
10070187;Спазм заднего прохода рефлекторный;K59.4;70258
10070188;Спазм истерический;F44.4;70259
10070189;Спазм кардии;K22.0;70260
10070190;Спазм карпопедальный;R29.0;70261
10070191;Спазм кивательный;F98.4;70262
10070192;Спазм кишечника;K58.8;70263
10070193;Спазм кишечный психогенный;F45.3;70264
10070194;Спазм компульсивный;F95.9;70265
10070195;Спазм коронарной артерии;I20.1;70266
10070196;Спазм лицевой;G51.3;70267
10070197;Спазм матки;N85.8;70268
10070198;Спазм матки, осложняющий родоразрешение;O62.4;70269
10070199;Спазм матки, осложняющий родоразрешение, влияние на новорожденного;P03.6;70270
10070200;Спазм маточной трубы;N83.8;70271
10070201;Спазм мозговой артерии;G45.9;70272
10070202;Спазм мозговых артерий;G45.9;70273
10070203;Спазм мозговых артерий сосудистый;G45.9;70274
10070204;Спазм мочевого пузыря;N32.8;70275
10070205;Спазм мочевого пузыря психогенный;F45.3;70276
10070206;Спазм мочеточника;N13.5;70277
10070207;Спазм мышечный;R25.2;70278
10070208;Спазм мышцы детрузора;N32.8;70279
10070209;Спазм мышцы, поднимающей верхнее веко;H02.5;70280
10070210;Спазм нервный;F45.8;70281
